# fruit-tree-v0 [R] - empirically searched commands delivered FAITHFULLY within 1%
# criterion: ||(desired_command - achieved_return) / objective_range||_2 <= 0.01; horizon excluded
# protocol: greedy singleton verification on cuda, reset seed 0, clip(rem - r, None, max_return)
# search: 1125 batched CPU discovery rollouts / 6750 env steps; 206 singleton CUDA archive rollouts / 1236 env steps
# archive: 206 normally ended valid commands, 64 unique achieved outcomes; unfaithful outcomes included in dominance audit
# final: 64 unique rows, each reparsed then rerun twice (128 rollouts / 768 env steps); worst normalized error 0
# achieved column is exactly non-dominated (maximisation) against the complete singleton search archive
# checkpoint_sha256: c9af256fb6231867acfa78623c575b64875f29bec50268356bd6bfc4a1368a2a
# desired_command_0,desired_command_1,desired_command_2,desired_command_3,desired_command_4,desired_command_5,achieved_return_0,achieved_return_1,achieved_return_2,achieved_return_3,achieved_return_4,achieved_return_5
4.276873,2.8305569,5.275418,5.032738,0.01475194,4.5318427,4.276873,2.8305569,5.275418,5.032738,0.01475194,4.5318427
4.4160414,0.8655104,2.0570977,4.7098637,3.106477,6.609448,4.4160414,0.8655104,2.0570977,4.7098637,3.106477,6.609448
4.4331136,4.9132814,5.117075,3.9065905,2.2223685,3.1340616,4.4331136,4.9132814,5.117075,3.9065905,2.2223685,3.1340616
4.4412885,1.8202686,4.2227206,2.3019457,0.67272145,7.3060727,4.4412885,1.8202686,4.2227206,2.3019457,0.67272145,7.3060727
4.4579773,3.1647995,1.0036216,2.244286,7.9140944,1.197294,4.4579773,3.1647995,1.0036216,2.244286,7.9140944,1.197294
4.725026,5.385329,5.4038663,1.5788373,0.24912225,4.112882,4.725026,5.385329,5.4038663,1.5788373,0.24912225,4.112882
4.747184,6.3649993,4.0581884,4.4399676,0.42190954,0.7686459,4.747184,6.3649993,4.0581884,4.4399676,0.42190954,0.7686459
4.92392,4.744247,2.560418,4.7693577,1.4352334,4.6781106,4.92392,4.744247,2.560418,4.7693577,1.4352334,4.6781106
5.0678177,3.1255755,6.8855505,1.2176913,2.730867,2.8630037,5.0678177,3.1255755,6.8855505,1.2176913,2.730867,2.8630037
5.2676816,0.23364916,0.2364611,1.250308,1.4116187,8.281611,5.2676816,0.23364916,0.2364611,1.250308,1.4116187,8.281611
